ID,Name,Category,Difficulty,Description,Hint,Tutorial
1,API-only XSS,XSS,3,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> without using the frontend application at all. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",You need to work with the server-side API directly. Try different HTTP verbs on different entities exposed through the API.,
2,Access Log,Sensitive Data Exposure,4,Gain access to any access log file of the server.,Who would want a server access log to be accessible through a web application?,
3,Admin Registration,Improper Input Validation,3,Register as a user with administrator privileges.,You have to assign the unassignable.,
4,Admin Section,Broken Access Control,2,Access the administration section of the store.,It is just slightly harder to find than the score board link.,8
5,Arbitrary File Write,Vulnerable Components,6,"Overwrite the <a href=""/ftp/legal.md"">Legal Information</a> file. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Look out for a tweet praising new functionality of the web shop. Then find a third party vulnerability associated with it.,
6,Bjoern's Favorite Pet,Broken Authentication,3,"Reset the password of Bjoern's OWASP account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",He might have trumpeted it on at least one occasion where a camera was running. Maybe elsewhere as well.,
7,Blockchain Hype,Security through Obscurity,5,Learn about the Token Sale before its official announcement.,"The developers truly believe in ""Security through Obscurity"" over actual access restrictions.",
8,NFT Takeover,Sensitive Data Exposure,2,Take over the wallet containing our official Soul Bound Token (NFT).,Find the seed phrase posted accidentally.,
9,Mint the Honey Pot,Improper Input Validation,3,Mint the Honey Pot NFT by gathering BEEs from the bee haven.,Discover NFT wonders among the captivating visual memories.,
10,Wallet Depletion,Miscellaneous,6,Withdraw more ETH from the new wallet than you deposited.,Try to exploit the contract of the wallet.,
11,Web3 Sandbox,Broken Access Control,1,Find an accidentally deployed code sandbox for writing smart contracts on the fly.,It is just as easy as finding the Score Board.,
12,Blocked RCE DoS,Insecure Deserialization,5,Perform a Remote Code Execution that would keep a less hardened application busy <em>forever</em>. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,The feature you need to exploit for this challenge is not directly advertised anywhere.,
13,CAPTCHA Bypass,Broken Anti Automation,3,Submit 10 or more customer feedbacks within 20 seconds.,"After finding a CAPTCHA bypass, write a script that automates feedback submission. Or open many browser tabs and be really quick.",
14,Change Bender's Password,Broken Authentication,5,Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password.,In previous releases this challenge was wrongly accused of being based on CSRF.,
15,Christmas Special,Injection,4,Order the Christmas special offer of 2014.,Find out how the application handles unavailable products and try to find a loophole.,
16,CSP Bypass,XSS,4,Bypass the Content Security Policy and perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,"What is even ""better"" than a legacy page with a homegrown RegEx sanitizer? Having CSP injection issues on the exact same page as well!",
17,Client-side XSS Protection,XSS,3,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Only some input fields validate their input. Even less of these are persisted in a way where their content is shown on another screen.,
18,Confidential Document,Sensitive Data Exposure,1,Access a confidential document.,Analyze and tamper with links in the application that deliver a file directly.,
19,DOM XSS,XSS,1,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>.",Look for an input field where its content appears in the HTML when its form is submitted.,2
20,Database Schema,Injection,3,Exfiltrate the entire DB schema definition via SQL Injection.,Find out where this information could come from. Then craft a UNION SELECT attack string against an endpoint that offers an unnecessary way to filter data.,
